,Reviews,Time
217, despite being the capital city with many airlines flying in the lack of direct international flights is ridiculous. Food options are good with live free music sometimes. Parking also can be tight during acl,Before
218," Small, well-designed airport. While average in most respects, I'll give it the extra star for two reasons: you can get brisket tacos here from Salt Lick, and you can easily take a bus to the heart of downtown for $1.50, replete with plenty of room for your luggage.",Before
219," I really like the ATX airport. It's unlike any airport I've ever been to. The restaurants are actual ATX local spots and they have live music. Well Austin is the Live Music Capitol of the World after all, so it only makes sense. Security has been pretty quick the last few flights I've had as well as checking in. I still try to get there between 1.5-2 hours before my flight just to be safe though. Stop by the Salt Lick Taco Stand and get yourself a brisket taco - you won't regret it!",Before
220, Lovely airport... Not very big but wasn't expecting it to be considering Austin isn't big itself. Great friendly staff...didn't have to wait long at all although that probably had something to do with the time we were due to fly. Barely made my flight though,Before
221," Okay, I travel quite a bit and have seen all kinds of airports all over the world.  This is a place that you could schedule to have a layover and by very happy, well fed and entertained.  Live music fills the air, kitchen odors from the top of the line restaurants, not the airport chains.  Lots of places to pull up a chair and just relax.  Speaking of relaxing, they even have a place to get a massage.  Just keeping Austin weird.",Before
222," Probably one of my favorite terminals in any US airport. Very clean, people is super super nice, lots of places to eat and buy souvenirs.I don't know if it was luck or not , but it took me only  2 minute to pass the TSA area!",Before
223, Awful experience. They don't even put up signs to let you know lots are full. I would advise using other parking options like the parking spot,Before
224," The Austin Airport, like most things in Austin is over rated.  While the Austin airport does not do anything horribly, it doesn't do anything great either.  It's an average airport with average amenitiesThere are food options, music, and most anything else you would expect to find in a Texas airport; it has the feeling of being run down a bit.  It is nice to have rental cars across the street at the airport, but waiting for luggage is never a short process.  If they could improve the luggage situation, then breezing to the rental cars would be much more enjoyable.",Before
230, Love this airport.It`s small and so easy to move around.,Before
231," This is Hands down one of the best airports I have  ever been too. efficient security , courteous airline staff (thanks Delta), but I really think the airport reflects Austin's   local culture very well. Sadly, No music when I was there (was expecting this) but that  does not affect this rating on this review. Where else can you get live music at the airport. Loved the local restaurant. scene. Overall, great experience and provides a great reflection for Austin visitors. KEEP AUSTIN AND THIS AIRPORT WEIRD !!",Before
232," I like this airport! Free wifi, not too big and interesting  shops! It was really easy to find the gate and the wait in the security line was relatively quick and painless- pretty good for a holiday week!",Before
233," This airport is clean, has a nice array of stores and restaurants. Baggage claim area is small which is weird to me but they're usually efficent.Overall, not a bad airport to travel through!",Before
234," yes..best and cleanest airport. A small one but lots of things inside, well organized..food was awesome and seat around waiting area was so comfortable.",Before
235," Top 5 airports in the country. Wonderfully maintained and beautiful facility, lots of amenities inside, wifi available, good food and plenty of places to sit and relax. I've had to wait about 4 hours between my girlfriend's flight and mine and it didn't bother me at all. Comfortable leather seating, with outlets! Awesome",Before
236," Friday eve (6pm), ZERO table service. Asleep at the wheel is so appropriate for the clueless "" staff"". Hey, its an AIRPORT..... folks have a thing callled a flight to catch.... Bartender (1)  doing his best.....",Before
237," Extremely upset with TSA for ignoring my concern on missing my flight as they EXTREMELY SLOWLY checked my daughter's bottles in security. I was crying, asking if I could just have one bottle and was one minute later, as I ran alone through the airport with two small kids (baby and toddler). The staff at the terminal were very nice and found me the next flight very quickly. The cafe was really clean and the food was great, however, the staff could use some Austin hospitality. Good and bad at this airport. Overall I'm just happy to be flying!",Before
238," I found myself coming back from a road trip to Austin from Chicago - requiring that I fly back. This is an airport that doesn't seem to have those over-crowded and stressful issues like so many others, which is nice. It seems easy in, easy out.I flew out on July 4th just before noon. The staff was cool and efficient. There seemed to be good food choices. I opted for water and a protein bar. And it was nice not to feel ripped off, price wise. I'd stop in again ... even at other locations.",Before
239," I'm not gonna be a full hater on AUS, but definitely going to keep it a 3 star and no mas because they have some good things and some issues.This is the first time I've ever flown in here and the arrival was pretty easy.  I stopped in a store to get a phone charger since I forgot mine and then they had WWII vets coming through and everyone stopped and applauded them.  I paid out as soon as I could so I could also go applaud and also because I love little old men.  Of course I also started tearing up and they were all looking at me like ""aww what's wrong little lassy?""  I couldn't help it, they are little dolls.  Once I got out of the airport, picking up the rental was also easy.So fast forward to the trip back.  I got to the airport way early (like 4+ hours early) to check in, grab a seat at a bar, and hopefully watch the race while I waited.  Melissa A is totally right - there are no obvious signs to tell you where food/drink is located.  I finally found the touchscreen thing and figured out where the sports bar was but those things are not easily located.So I roll up at the sports bar and sit at the bar.  The bartender on duty was a very surly girl, I didn't see her act friendly or smile at anyone.  At all.  I asked about turning the TV that was on TNT btw to the race.  She says she's not the one that does it, so told the older lady working the pickup counter as ""she's the one that does the remote"".  20 minutes go by....nothing.  Then the lady grabs the remote and turns all those TVs on soccer.  Hey, I'm all for soccer I guess, but I had already asked and I only asked for one!  GAAAH!  I was a pouty, whiny baby in my head.  The guy beside me even said ""hey, didn't you ask for the race?""  Yes, but I am not getting it.  So I paid out because I'll be damned if I'm going to spend $$ on drinks all afternoon while watching soccer and getting waited on by a surly bartender.  No thanks.So off I go to the Ray Benson's Roadhouse where I parked it at the bar.  I get a drink and a bbq sandwich ordered up from an awesome bartender named Joshua.  Once I noticed that the guy beside me was checking his phone for NASCAR updates as well and that the TV in front of us was on women's softball, I asked if he could turn it over to FOX.  And no problem, let's do it.  So Joshua saved the day plus he suggested I try Deep Eddy vodka and he was friendly and chatty.  Great service, nice guy.  I was pleased, tipsy, and happy.  It ROCKED.  And I paid it back by giving him a special hefty tip!  Plus apparently they have live music sometimes so you can rock out as you wait.Other things: not a lot of departure gate signs.  You have to hope that your gate didn't change as you can't find signs to look at.  Plenty of shops with tons of Texas related stuff - the outfits I got for my twin nieces are AWESOME.  Plenty of souvenirs if you want to wait until the airport to get it.  The TSA line was longer than I expected, but it was Sunday and it didn't go as painfully slow as I initially thought it was going to go...so that's good.This is definitely by no means the worst airport I have been to, but I am not putting it on my favorites list.  However, if you find yourself there, might as well go to the Roadhouse and holla at Joshua.",Before
245," Love this airport, but everything closes really early.  It's also fairly unpredictable in terms of security line wait times.  It's small (20ish gates) so it's really easy to get around, and I love the local flavors offered (when stuff is open).",Before
246," I have flown in and out of Austin a lot the past month and I have to say I really enjoy this airport.  It is smaller than my current home base, but it has everything a good airport needs and then some!  Here are some of the highlights:1. It's all one terminal, so it is easy to navigate.  No crazy trams, shuttles, tunnels or the other craziness that I am used to.2. They usually have live music in the middle of the gates.  Who doesn't love live music in the music capital of the world?3. A lot of good food options.  If you didn't already know, Austin is big on Austin owned restaurants, so the airport is in strict compliance with Austin only joints.  This is nice so you can get your last bit of Austin to take with you on the plane home.4. Free wifi and lots of plugs to charge up your devices!  Always a plus!5. Since it is a smaller airport, everything is close together and easy to get in and out of.  The parking is close, the rental car area is right next to baggage claim, and it is just easy and time efficient.  Yay for that!So this is a great airport.  Come to Austin to check it out for yourself!",Before
247," Many good choices from Chinese to Texas BBQ... For fellow crew members (KCM) available in center of airport. Free WIFI, just watch a video online and your set to go.",Before
248, Austin's airport is absolutely welcoming! The people are friendly. Some cool sports bars and restaurants. The floors are super shinny.,Before
249," For a relatively small airport and exceedingly over crowding number of TSA officers, the least hectic time to check customers takes 20 minutes.  LAX, Dallas, Houston take about the same time. Not to mention all the big city airports have a line for military members, this airport and Airlines in the airport offer no information or assistance to inform military members of pre TSA eligibility until you enter the security checks and is like pulling teeth; to include the negative attitude you get for asking and get snobby to challenge the fact I should be ashamed or stupid to all what other big city airports offer at first hand.  They handle hundreds of customers and never have them disrespected any customers.",Before
250," Super fast walk through TSA, didn't need to take off shoes,  belt, laptop or anything. Awesome... The gates and rental cars are super close. Basically an overall well processed airport. I just wish the planes from other locations would be on time like this airport. 5 stars...",Before
251," Seems like everything closes at 8pm which is pretty early for an airport :(. Sincerely, starving traveler",Before
252," Music, BBQ and Boots, yep...it's home!",Before
253," Disappointed. Can't find a place to get a cocktail without fighting to the bar(i.e. no table service anywhere). Austin's not as cosmopolitan as they're reputation. Oh, well, it's the only game in town.",Before
254," AUS is a really nice regional airport! Things that make them awesome include:*Free wifi*Easy access  navigation - only about 20 gates or so means it's easy to get around*Local places to eat and drink (Extra stars for this!)*No shortage of places to get some last minute ""Keep Austin Weird"" t-shirts and local CD's*Clean restrooms and gate areasThe only downside is that if you're flying in/out after 7pm the place pretty much shuts down but that's true of many regional airports.",Before
260," Easy to maneuver,  this airport seems small even though it's international. Short term parking is close, lines are short, staff is friendly - even at the security check point!  The space is clean.  The whole process,  from arrival to departure, was smooth and efficient.  If only all airports were this way :) .",Before
261, I love Austin. It's such a hip city. So it's not surprising that there are bands playing at the airport on Friday evenings. Never seen that anywhere else! It's freaking awesome. Also the airport is super easy to navigate and you can walk across the street to get a car. No shuttles to car returns either! They need better food at the airport tho. I'm always hungry on my way home and there's never food open late enough!,Before
262," Very cool huge colorful guitar display! I have yet to catch a live music performance but what a unique feature. Overall I love how the airport has a fun artsy vibe to complement the city.Relatively quick experiences with going through security and boarding so far. Easy dropoffs and pickups as well.Always appreciate free wifi, it is accessible for 30 minutes I think.",Before
263," Being from L.A. I'm used to a little controlled chaos at the airport; Austin Airport is so well organized  maintained, it was a easy breezy experience. Can't wait to come back Austin!",Before
264," Being from L.A. I'm used to a little controlled chaos at the airport; Austin Airport is so well organized  maintained, it was a easy breezy experience. Can't wait to come back Austin!",Before
265," I have never had any concerns here, but they are growing and the construction work flow does hinder your simple travels.Be cautious when going to the extended parking area, right now with all of the constructions many of the gates do not work and there are no signs to tell you that you MUST ENTER from a single point; this was really frustrating when I had to loop the entire lot and parking area to come back to that position and enter the parking area.  Additionally, pedestrian signage could be much better for construction areas. Sure, it tells you the entrance to get to the terminal, but when you are a long ways from that sign there is nothing directing you to the location. So you could end up making an extra hike to get to the terminal.  TSA security has to process many people, but some of their courtesies could be improved. I was traveling with kids and it seems that their delays were a surprise to a few agents; seriously? Kids do what they do and mine listen well, but when I am in a crowded area I pay special attention to them and not force them through the crowds and keep them in my sight.  Most TSA agents saw this and understood, but a few (unnamed) really should consider it or take another break to relax some.  Overall, the airport is growing and improving. They still have much to learn and grow to earn more stars from me.",Before
266," As far as airports go, this one is up there with Love Field for similar reasons:- Not super crowded and the check-in lines flow quickly- Really good shops, bars and restaurants to refresh and kill time between flights- The staff throughout the airport are friendly, helpful and full of positivity",Before
267," This is a small sized airport, but it's not tiny like the Killeen one, now that place is tiny. The AC was on full blast and I swear I was about to get icicles on my eyebrows. I there's decent amount of places to chow in this airport from down and dirty hot dogs to healthy salads and more. Some establishments have performers representing what Austin is known for, their music. I think it's pretty cool to sip on a beer and hear a nice live song. I like this place.",Before
268," I have flown to MSY (and back) several times on Southwest and don't seem to connect through the same City twice. Previous stops have included Las Vegas, Los Angeles, San Diego, Denver, Kansas City, Phoenix, and now Austin on the way home. I had a little trepidation flying into Austin, since I'm a proud AM Grad and generally hate anything associated with the word Longhorn. But, Austin-Bergstrom, is spacious, inviting, and a most pleasant place to change planes. The highlight was taking off and flying directly over the Texas State Capital.",Before
269," This might be one of the coolest airports I have ever visited.  So much art, really cool shops and oh my goodness, THE FOOD!  Never have I felt like I had TOO MANY options at an airport, but here I was really struggling with what to order!  I also like that the airport is on the smaller side - makes it management to walk the entire airport if you are trying to kill a few hours and to still do something useful like grab a delicious bite to eat.Excited that I will be traveling to here more!",Before
270," I really wanted to give this airport more than 3 Stars, but it shows you how important TSA and security are to the airport experience.  I'm a business traveler and fly a few times a week.  This TSA group is without a doubt the poorest I have encountered. They are in dire need of retraining....an airport this size should not have the wait times of a much larger airport.  If they could fix this issue Austin would be a 5 Star experience.Positives - outstanding food selections..especially considering the size of the airport. Great tunes and really cool displays throughout the airport. Only about 20 or so gates....So once you make it through the horrific security experience you are on easy street.",Before
276," Probably the most beautiful airport I've ever been in. Very clean, very new looking, and lots of shops and eateries.Nice staff as well.",Before
277, Super fast check in and process through security.    TSA employees were kind and attentive to my kids as they asked questions.,Before
278," Warning!!! This is the slowest airport for security I have been through in a very long time. I have Pre TSA and the regular line might have been moving faster. My colleague witnessed people in tears due to flights being missed because of the slow lines? Watched a woman not able to bring an urn of ashes through security? Simply awful! Now...as a disclaimer it did seem to me that they were training in new TSA employees, so hopefully this is not a long term issue, but just in case please plan accordingly!!!Travel and Leisure voted this one of the top airports in the US, and I will agree on the size, clean factor, music, and good food. Still can't give it more stars due to the wait factor...",Before
279," Austin-Bergstrom International Airport is where I have said countless hellos and goodbyes. In college, I said goodbye to Richard, my best friend. He had saved my life, you know. I had appendicitis, but the ER kept kicking me out of the hospital, doped up on Morphine to calm me down from the pain, but they didn't know what was wrong. He bumped my roommate out of our shared efficiency dorm room, stayed with me for three days, hauled me to the ER and back 2 more times and finally spent six hours back at the hospital, holding my hand, refusing to let them discharge me until my parents could get there. My appendix burst during the operation. At the end of that semester our group of friends went skydiving together. It was one of the most incredible experiences of my life. Then I bought Richard a journal, asked him to write in it to me every day, and we went to ABIA to see him and his two Australian counterparts off, back to Oz.I miss the days when you could wait at the terminal with loved ones. When you could be with them just until the moment they left and actually watch their plane take off. I sat for a long time at the little cafe after they all left. And I cried and watched people come and go. And I never saw him again. That was around 9 years ago. He was a very good friend. He sends me a message once every year on my birthday. That was my first ever experience at the airport in Austin. For a long time after that, I never flew anywhere and probably for 5 years or so never went back. But now, for the past three years, my husband has worked out of state and we drop him off and pick him up at ABIA, frequenting twice a month. I have videos of my daughter, who is now four, seeing him from a distance, screaming ""Daddy!"" and running up to put her arms around his neck, from the time she could barely walk and barely say his name until now. I will be able to stream them together to watch her grow as she greets him at every homecoming. And every month we drive to the drop off, we put on the hazards, and we say brief goodbyes. I miss the days when we could have gone in and sat with him, let her sit with him until the moment he had to leave. Sometimes, when I drop him off, we've been fighting, and he'll walk away, through those automatic doors, without looking back once, without saying a word. The drive away then is very hard. And sometimes, when I drop him off, we're dreading the moment we part and he can't hug me long enough and he turns around and blows me a kiss. The drive away then is very hard. We won't have to do much of this anymore. But there is a lot of emotion tied into my memories of the arrivals and departures I've experienced at ABIA. .",Before
280," I loved this airport - L-O-V-E-D it. It's not as huge as I expected it to be for a large city and touristy place like Austin, but it's plenty big enough and run very efficiently.  I arrived at 10am for a 12:15 flight this morning and I had checked a bag and gone through security and was sitting at my gate by 10:19.  The employees were very friendly - I was laughing and joking with them the whole way through security and bag check - and they run a very tight ship but do it well and with obvious pride.  No one seemed put-out by their jobs or like they were grumpy about it which is nice because I already hate flying so when the TSA employees are disgruntled it doesn't help the experience... I like the layout of this airport - it's in a sort of semi-circle and the gate numbers are easy to find as they go around the circle with a few shops and food and a big Salt Lick BBQ and food/bar area in the middle.  I didn't have any issues here and I had a very easy and pleasant flight in and out while visiting an old friend for a 4-day Austin weekend.",Before
281," Austin, I enjoyed your airport, despite Southwest losing my dad's luggage.  Airport has a lot going for it.",Before
282," ATX!  There's no better feeling than getting off a flight and seeing those painted guitars!Did you know there's a Salt Lick in the terminal? If you missed breakfast, get a breakfast taco...don't forget the bbq sauce!There's also a great clothing shop if you forgot to pick up a ""Keep Austin Weird"" t-shirt for a loved one you're about to visit.Parking is expensive if you want covered and close.  I recommend The Parking Spot which is located off 183 heading SE.  Remember to make a reservation the day  before!  They are not first come first serve.  The Parking Spot has covered parking for every car.  The covered airport parking is very expensive.  The uncovered long term parking is cheaper, but with precarious Texas weather and resulting Texas hail, I wouldn't risk it.If you're in ATX for business, please don't stay at a hotel close to the airport.  Get a hotel downtown, or better yet, on South Congress!  At the very least stay in a bnb somewhere in Rosedale or Hyde Park!I'm sure this would be a great airport to stalk the baggage claim just before ACL or SXSW!",Before
283, Love the Cell Park and the easy in which I can drive up the terminal and drop or pickup my sunshine or friends.,Before
284," Love ABIA!  It seems the wait for security check point is always long, but the rest of the airport is awesome.  Lots of local flare, usually live music at the main bar in the middle.  It's nice to eat airport food that has local roots besides the usual fast food junk.",Before
285," Enough has been said about the airport itself, so let's talk about what will happen when you live in Austin long enough:  you will become the chauffeur for your friends and your family to and from the airport. The easiest way to get to the airport from North is either to take Airport Blvd (natch) or 183, especially if you're trying to make it down while it's more crowded in traffic.  Let's say you're picking up someone.  Lo!  There is a Cell Phone Parking Lot (CPPL).  In this parking lot there are benches, plenty of parking and restrooms (thank goodness, because there are delays on incoming planes from time to time).  From here you can wait for your passenger to call you or text you.  You can also people-watch everyone else who is waiting for their pickup, which is always the most fun of going to the airport.  You can also scowl at the people who leave their cars on even though there are signs asking you to turn your motor off after 5 minutes of idling.The bad:  You may miss the CPPL like I did the first time (the entrance sign has no arrow indicating it is right instead of ahead, though all the other signs DO) and you may have to do a roundabout to come back and turn left into the CPPL.  Takes about thirty seconds and your lost pride.It takes you, oh, a minute tops to drive over and pick up your passenger. Make sure they tell you what entrance they are at (it's an alphabetic system) and you'll be on your way shortly.  Don't speed out of there because the cops that pepper the airport will stop and ticket you.",Before
291," This is one of the better mid to small sized airports in the country.  It's always well kept for as busy as it gets.I have no choice but to fly out of here because it's the closest to me personally... and I've been to many different airports around the country.  This one is cozy, clean and efficient.  You really can't say much more about an airport than that.It's a bit frustrating that they've been building upgrades to it for a while, but I'd imagine that it will only improve the place once it's complete.Again, what can you really say about an airport?  4 stars.",Before
292," Austin-Bergstrom International Airport is a bit of a strange beast, while I like the airport for it's intimate size and generally friendly staff, I feel that for being an international airport in the capital city of Texas it can do far better. The airport is very ""Austin"" I will give it that, but most of the services like shoe shine or massage or anything like that always seem to be closed when I am there. The other strange thing about this airport is there does not seem to be any ""sit down"" restaurants with table service. I feel the airport needs to look at its services and get them up to par with other international airports.",Before
293," Only in Austin,Texas at Austin Bergstrom International Airport can you grab a burger at one of your favorite hometown places, go sit outside a bar with a beer and listen to a live band, all while you wait for a plane to rush you away to a far off place!",Before
294," I love this airport. Free wifi, modern architecture, it's better than most airports out there.",Before
295," My how you have grown up. I remember back in the old days when you were a little bitty thing right next to IH35.  Do you remember the time when I was running  late and was sweating it as we navigated the horrible traffic on Airport Boulevard? Back then I had no idea about real traffic. Little did I know you would grow up and move out to the old Air Force base and change your name.  You silly thing, you moved out there long before the city could accommodate us all with the proper  streets and roads.  Lucky for us the city has worked hard to fix that little problem and access has gotten a great deal better.  I remember flying in and out of Austin and watching the cars and trucks up and down IH35, seeing the beautiful Texas State Capitol and the UT Tower and Football Field. Now when we fly in we get to admire all those beautiful trailer parks and quarries. They sure are pretty, well kind of.  I noticed last week while visiting that you are going through another growth spurt.  You sure are getting big.  I hope that you can grow a few more security areas to keep the lines moving, they can be terribly long and slow.  By the way, you may want to get better signage concerning exiting the paid parking next to the airport.  It was a little confusing finding the new location of your Exit and Pay Booths. The signage was sparse and not as helpful as it could be.   You sure have gotten bright and airy. You offer up a variety of food options, drinks, live music, Wifi, and you keep the place so nice and clean. The vast majority of airport employee's are Austin Friendly and helpful.  I noticed that the wait time for luggage was down the past several times we have been in and out. Even our oversized luggage showed up pretty fast, please do not change that. The last thing a weary traveler wants to do is stand around waiting for luggage. All in all you have grown into a nice respectable airport. I can't pretend I don't miss the old days of flying in to the UT Tower glowing burnt orange or viewing our Pink Granite Capitol from above but you sure are pretty. I will be visiting you again next week and though I dread the commute I look forward to your convenient and affordable parking, professional and friendly staff, a quick Tex Mex meal before I head north and great live music to serenade me off.",Before
296," Very nice airport. Modern, clean, and tons of electrical outlets to plug your devices in. Lots of restaurants, a Book People, and a live band playing! Bathrooms were very clean. This is one of the best airports I have seen.",Before
297," No chains, lots of cool local businesses, friendly Texans, and quick TSA checkpoints. Can't really ask for more.",Before
298, Usually more expensive than the Austin Hazardous Waste drop off location but they have 4 pumps and its covered.,Before
299," Great airport - always clean, not horrible waits, and a decent array of shops and ""snacky poos"" while you waiting for your flight. They also have a great area in the center of the airport where they have daily live music, a nice sized bar and taqueria.  A def plus for any frequent traveler.",Before
300," They need more bars in this bar....errr airport....And why aren't there any maps that point out where the bars are?  It's like a big secret.  What the hell?  I've been flying in and out of Austin since the 1900s and never had a flight delayed.  Guess the good times had to stop eventually.  $40 to upgrade your boarding pass on Southwest.  I said, ""no thanks"" and the guy said, ""how much did you think it cost?""  ""Well, I thought it was complimentary.""  Did Southwest stop doing profit sharing or stock sharing or whatever with their employees?  Was really surprised by the counter person's flippant and slightly condescending tone.  Did he not notice how awesome my hair looked?I finally found a map but it didn't list all the things and I mentioned it to the woman also looking at the map. She clicked an icon and the map lit up. I clicked the cocktails icon and the three bars lit up. I slapped her on the shoulder and said, ""you're so smart!  Earl Campbell's here I come!""  I love how everyone assumes you're a lush because you want to drink before your flight.  Oh, yes, I forgot, the only acceptable airport pastime is staring at your electronic device with furrowed brows, headphones in, and audibly sighing anytime another delay is announced.  The nice thing about airport bars is people actually talk to each other, and someone may even buy someone a drink all super causal and suave.  And they let us put on The Walking Dead.Why are the arrival and departure boards so small? Are they getting smaller?  Neither of the two bars I went to had the departures boards in the bar, so it was a combination of squinting at the across the aisle and hoping the Google card on my phone was accurate.  That's all I need, to miss a flight cause I was drinking $9 vodka sodas in an airport sports bar and couldn't read the 8 point font on the departure monitor 50 feet away.  America is aging, when are they going to make signs bigger already?Seriously, a few sad ""airport"" versions of iconic Austin restaurants and three bars, almost zero services (where was the shoe shine person? That's half the reason I even go to the airport; is there a salon here?  come on now).  Sure it's pretty but it still feels all Gotham City with the mostly very dark gray on gray motif, an international airport where you can only go to Mexico and still have to go through Houston for a passport check.  Meh.  Two stars for the mehrport, plus one for the TSA agents who are always flirty.  Every time.  Without fail.  This last time, the guy said he could see my smile on the full body scan.  Oh there were so many inappropriate things I could have said to that.  But I just smiled instead...",Before
0, This airport is pretty similar to other airports in the nation but with that cool and trendy Austin feel. They just recently remodeled areas of the airport and are still undergoing projects to better the place. They have so many amazing food options that are local to the Austin area and the souvenir shops in the airport are wonderful with many things to choose from. When I travel the TSA line typically is not long of a wait at all and navigation thru the airport is very detailed and simple to understand. Plenty of parking nearby and fairly easy to navigate getting to and from this airport.,During
1, It used to be SO convenient. Easy and stress less. Leave it to Austin to take what was convenient and working since the beginning and totally F it up. Ride share pick up is now a VERY VERY VERY long walk away. You may as well park your car and shuttle in. Thank you Austin for giving one more reason to move after 30 years.,During
2, I come here every year for F1. I love this airport because it's very different and they have a huge variety of food and vending machines! TSA lines move fast and it's a very easy to access airport. I love how the rental car lot is very visible from the terminal. One of my favorite airports in America! There's never a line or a packed airport.,During
3, This airport was clean and the TSA were super friendly and helpful. I was through security and at my gate in less than 10 minutes. Super efficient. Thanks Austin!,During
4," I found the airport clean, full of restaurants and helpful people.  Easy drop off and pick up at the terminalDeparting  and leavening from the gates are easy as well.Always a good experience .",During
5," Early morning airport, heading home but I'm starving- hope to find something good!Smaller airport but very busy at 5am. Lighting and signage is excellent. The TSA pre area was super fast, almost zero weight. As expected with pre I was able to keep my shoes  belt on and pass through with no delay. Friendly TSA folks (especially since it was so early) and all lines flowed very fast. Gate 26 offered a spacious waiting area with ample seating and charging outlets.Thanks all!",During
6, Always a 20 plus minute wait for bags to start coming out once you have walked to baggage claim. Such terrible customer service! Is it a surprise that the planes are landing?,During
7," Shocked at the lack of sit down restaurants.  Even the ""food court"" was salads and smoothies and beer. Live music was cool but not the best place to spend a long layover.",During
8," This airport was a treat to spend time in. It's clean, updated, with easy-to-follow signage. Check-in and security was easy enough and fairly average for early morning airport times. The terminal I was in was super fresh and seemed to have plenty of better-than-usual dining options. It was morning when I was there, so I opted for breakfast. However, there were two good breakfast/coffee options right by our gate. And while one has a super long line, the other was speedy and ready to serve! Unfortunately the night I flew in there was some kind of sewer issue, so walking outside was quite smelly. The whole area smelled like a farm, but I understand that's not normal. I will say the only bad part of the experience was how hard it was to find the ride share area. It was like a MAZE to get there.",During
9," The airport has done a great job in updating parking, services, and gates over time. There are multiple security points to enter depending on your airline. This can really save you some time. The airport also has multiple pre-check and clear entry points which makes security a breeze. A small suggestion for improvement would be to add a priority pass lounge.",During
15," As an Austin native, I always think about how our airport serves as a first impression to visitors of this great city. In my biased opinion, I still feel that our airport is one of the better airports in the nation.Is it large? Not really. Clean? Yes. Homey? I'd think so. Food good? It's okay (used to be better with more local austin joints like Scholotzky's and Amy's). Now it's filled with generic overpriced basic hipster places. Service and TSA good? Mostly decent. Easy to navigate? Yes. In the end, I still feel at home everytime I fly back. I hope you do too. Welcome to Austin.",During
16," Horrible airport. Too busy and crowded with very little direct flights.Narrow walking hall, long hall with one exit to outside terminal. Austin being  a major city, very busy city with too many festivals and events, the city needs to expand its poor airport. They need more flights, more seats at the airport  for travelers to sit on, more entrances and exits. The travelers drop off and pick up areas are horrible, crowded all the time even at 3 am, disorganized, taxis and Uber are all the way in some garage. They keep adding poor unneeded shops and restaurants instead of gates and flights and bigger area for people to walk in the airport instead of running into each other due to lack or space. Ridiculous",During
17, I travel weekly and this airport is quick. TSA is great. Lots of local food spots here as well. American executive lounge is nice. There's also a shoe shine spot.,During
18," Nice small airport (compared to ATL anyway), shirt security lines, easy check in, and gates very short walk away. Could do with more variety of shops and food options.",During
19," This airport feels kinda small compared to JFK and other places that I have been to. However, it seems much cleaner and more organized than LGA, JFK, and others...",During
20," Great food, easy layout, friendly workers, HORRIBLE signage for ground/ride share transportation. Would rather go through a corn maze blindfolded in the dark than trust their signage.",During
21, They change where you can get a share ride so now you walk a half a mile in the cold and rainy weather in the middle of a parking garage? Not very functional and confusing setup.,During
22," I was struck by how much Austin's airport reminded me of the San Jose airport in California. But then I realized they both cater to the same customers, as well as having the benefit of having the space to be modernized. Unlike older airports they have an open terminal plan so there's more space, more options for passing time when your flight is delayed. It is a bit of a trek to the rideshare pickup but that may be due to a common theme at every airport A.U.C. (Always Under Construction) It was nice enough to make a three hour flight there for a two hour meeting and a turnaround three hour flight home less painful.",During
23," This is was my second time here At this airport is not what I expected. It's very small and they always have some type of construction going on, the restroom are always dirty. I had forgot the first time never to use them and unfortunately, I had to go with my second visit and the restroom were even worse!! The TSA team is so rude always yelling at everyone customer service is even worse. I'd rather drive to Austin then fly with this type of service.",During
24," As far as airports go, this one is great. Simple layout, local food options, and quick service all help you fly comfortably. I've used the cell phone lot several times so I don't have to circle forever. I have never lost luggage on my way out of this airport.",During
30, I'm disappointed with the new rideshare pick up location in the second parking garage. Why do you dislike us so much? Totally lame. Guess I'm going to opt to get a ride from family moving forward.,During
31," Love this airport. Active, artsy, friendly, perfect sizeFeels comfy and invitingStaff, even cleaning staff in restrooms are helpful and pleasant Like the way you don't need to take a shuttle to rent a Car, although it is a long walk if you can't make it, have someone else come get you when all is said and doneWish the food offerings were not stuck in Texas clog your arteries mode. Hard to find much variety, lots of Mexican food choices Surrounding hotels have gotten so expensive now, so caution. Not your usual Cheap Texas discount anymore. Austin has grown popular, the secret is out.",During
32, Really really nice airport for a small airport. It reminds me of Dallas Love Field which is equally nice!,During
33, Revised cell phone lot absolutely SUCKS. Spaces reduced drastically. Narrow lanes for traffic. Corners are way too tight. Have witnessed several almost wrecks due to design.  What on earth were the planners thinking??!!??!!  Or drinking? Clearly they could care less about helping travelers and those who meet them. I use to love this airport. Now I hate it. This change is not even close to being an improvement. Bad. Bad. Bad. Stay away if you have a choice.,During
34," Been flying in and out of this airport for over 6 years.  It's a small airport but it sure is efficient! Great cell phon waiting lot is awesome, with a nice new 24-he Texaco gas station,  soon to be subway and Austin java shop if you are waiting for arriving guests.",During
35, Nice airport you can purchase last minute they have a big variety of food. You can enjoy yourself at one of the local bar taverns there while you wait. If you forget your charger or anything like that you can definitely pick it up there at one of the local shops.,During
36," I did not get to see much of Austin's airport as my arrival was at 11:30 PM and my departure a few days later was at 5:30 AM. Well, that's not entirely true. I got to see quite a lot of the hike between the gates and the rental car center.There are not many concessions open that late or that early, so I can't tell you much about their food or the shopping amenities. The wifi was free and it worked well, so that's a plus.If I ever return to Austin, maybe Delta will have a Sky Club and the airport will be done with the construction with some sort of people mover to the rental cars.[Review 10194 overall, 1780 of 2018.]",During
